Airline,Departure,Arrival,price,Duration,Stops,Departure Time,Arrival Time,Day of the Week,Day of the Month
Aegean,Berlin (BER),Cairo (CAI),316,455,1,17:15,00:50,Tuesday,1/08/2023
Egyptair,Berlin (BER),Cairo (CAI),336,245,0,15:45,19:50,Tuesday,1/08/2023
LOT-Polish Airlines,Berlin (BER),Cairo (CAI),446,470,1,11:20,19:10,Tuesday,1/08/2023
Aegean,Berlin (BER),Cairo (CAI),497,590,2,15:00,00:50,Tuesday,1/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,375,1,19:35,01:50,Tuesday,1/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,555,1,10:40,19:55,Tuesday,1/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,655,1,14:55,01:50,Tuesday,1/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,750,1,19:35,08:05,Tuesday,1/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,775,1,07:00,19:55,Tuesday,1/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,910,1,10:40,01:50,Tuesday,1/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,1030,1,14:55,08:05,Tuesday,1/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,1130,1,07:00,01:50,Tuesday,1/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,1285,1,10:40,08:05,Tuesday,1/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,1460,1,19:35,19:55,Tuesday,1/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,1505,1,07:00,08:05,Tuesday,1/08/2023
Swiss International Air Lines,Berlin (BER),Cairo (CAI),779,900,1,20:30,11:30,Tuesday,1/08/2023
Swiss International Air Lines,Berlin (BER),Cairo (CAI),779,945,1,19:45,11:30,Tuesday,1/08/2023
Swiss International Air Lines,Berlin (BER),Cairo (CAI),779,1005,1,18:45,11:30,Tuesday,1/08/2023
Swiss International Air Lines,Berlin (BER),Cairo (CAI),779,1235,1,14:55,11:30,Tuesday,1/08/2023
Lufthansa,Berlin (BER),Cairo (CAI),781,380,1,18:50,01:10,Tuesday,1/08/2023
Lufthansa,Berlin (BER),Cairo (CAI),781,440,1,17:50,01:10,Tuesday,1/08/2023
Lufthansa,Berlin (BER),Cairo (CAI),781,500,1,16:50,01:10,Tuesday,1/08/2023
Lufthansa,Berlin (BER),Cairo (CAI),781,680,1,13:50,01:10,Tuesday,1/08/2023
Lufthansa,Berlin (BER),Cairo (CAI),781,740,1,12:50,01:10,Tuesday,1/08/2023
Lufthansa,Berlin (BER),Cairo (CAI),781,860,1,10:50,01:10,Tuesday,1/08/2023
Aegean,Berlin (BER),Cairo (CAI),258,415,1,11:15,18:10,Wednesday,2/08/2023
Aegean,Berlin (BER),Cairo (CAI),258,815,1,11:15,00:50,Wednesday,2/08/2023
Aegean,Berlin (BER),Cairo (CAI),308,555,1,11:15,20:30,Wednesday,2/08/2023
Egyptair,Berlin (BER),Cairo (CAI),336,245,0,15:45,19:50,Wednesday,2/08/2023
Air France,Berlin (BER),Cairo (CAI),373,1655,1,20:30,00:05,Wednesday,2/08/2023
LOT-Polish Airlines,Berlin (BER),Cairo (CAI),446,470,1,19:10,03:00,Wednesday,2/08/2023
LOT-Polish Airlines,Berlin (BER),Cairo (CAI),446,1440,1,19:10,19:10,Wednesday,2/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,375,1,19:35,01:50,Wednesday,2/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,415,1,13:00,19:55,Wednesday,2/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,555,1,10:40,19:55,Wednesday,2/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,655,1,14:55,01:50,Wednesday,2/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,750,1,19:35,08:05,Wednesday,2/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,770,1,13:00,01:50,Wednesday,2/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,775,1,07:00,19:55,Wednesday,2/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,910,1,10:40,01:50,Wednesday,2/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,1030,1,14:55,08:05,Wednesday,2/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,1130,1,07:00,01:50,Wednesday,2/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,1145,1,13:00,08:05,Wednesday,2/08/2023
Turkish Airlines,Berlin (BER),Cairo (CAI),575,1285,1,10:40,08:05,Wednesday,2/08/2023
Swiss International Air Lines,Berlin (BER),Cairo (CAI),779,900,1,20:30,11:30,Wednesday,2/08/2023
Swiss International Air Lines,Berlin (BER),Cairo (CAI),779,945,1,19:45,11:30,Wednesday,2/08/2023
Swiss International Air Lines,Berlin (BER),Cairo (CAI),779,1005,1,18:45,11:30,Wednesday,2/08/2023
Lufthansa,Berlin (BER),Cairo (CAI),781,380,1,18:50,01:10,Wednesday,2/08/2023
Lufthansa,Berlin (BER),Cairo (CAI),781,385,1,08:50,15:15,Wednesday,2/08/2023
Lufthansa,Berlin (BER),Cairo (CAI),781,440,1,17:50,01:10,Wednesday,2/08/2023
Aegean,Berlin (BER),Cairo (CAI),258,415,1,11:15,18:10,Thursday,3/08/2023
Aegean,Berlin (BER),Cairo (CAI),285,455,1,17:15,00:50,Thursday,3/08/2023
Aegean,Berlin (BER),Cairo (CAI),285,815,1,11:15,00:50,Thursday,3/08/2023
Egyptair,Berlin (BER),Cairo (CAI),336,245,0,15:45,19:50,Thursday,3/08/2023
